Centralized aggregator proto(cont).
==> Clients initialization..
===> Building data iterators..
Unique labelsin domainnet data: ['bird' 'feather' 'headphones' 'ice_cream' 'teapot' 'tiger' 'whale'
 'windmill' 'wine_glass' 'zebra']
Unique labelsin domainnet data: ['bird' 'feather' 'headphones' 'ice_cream' 'teapot' 'tiger' 'whale'
 'windmill' 'wine_glass' 'zebra']
===> Initializing clients..
Centralized aggregator used.
In aggregation,py. #clients per round : 2
Global Train Loss: 0.009 | Train Acc: 99.739% |GlobalTest Loss: 0.222 | Test Acc: 93.522% |
Global Train Loss: 0.009 | Train Acc: 99.739% |GlobalTest Loss: 0.222 | Test Acc: 93.593% |
Global Train Loss: 0.010 | Train Acc: 99.739% |GlobalTest Loss: 0.217 | Test Acc: 93.593% |
Global Train Loss: 0.009 | Train Acc: 99.739% |GlobalTest Loss: 0.217 | Test Acc: 93.593% |
Global Train Loss: 0.012 | Train Acc: 99.739% |GlobalTest Loss: 0.222 | Test Acc: 93.733% |
Global Train Loss: 0.009 | Train Acc: 99.739% |GlobalTest Loss: 0.221 | Test Acc: 93.452% |
Global Train Loss: 0.010 | Train Acc: 99.739% |GlobalTest Loss: 0.221 | Test Acc: 93.800% |
Global Train Loss: 0.008 | Train Acc: 99.739% |GlobalTest Loss: 0.216 | Test Acc: 93.802% |
Global Train Loss: 0.009 | Train Acc: 99.739% |GlobalTest Loss: 0.220 | Test Acc: 94.018% |
Global Train Loss: 0.009 | Train Acc: 99.739% |GlobalTest Loss: 0.228 | Test Acc: 94.160% |
Global Train Loss: 0.003 | Train Acc: 100.000% |GlobalTest Loss: 0.235 | Test Acc: 93.807% |
Global Train Loss: 0.011 | Train Acc: 99.739% |GlobalTest Loss: 0.231 | Test Acc: 94.230% |
Global Train Loss: 0.009 | Train Acc: 99.739% |GlobalTest Loss: 0.233 | Test Acc: 94.089% |
Global Train Loss: 0.012 | Train Acc: 99.739% |GlobalTest Loss: 0.234 | Test Acc: 93.944% |
Global Train Loss: 0.011 | Train Acc: 99.739% |GlobalTest Loss: 0.234 | Test Acc: 93.944% |
Global Train Loss: 0.011 | Train Acc: 99.739% |GlobalTest Loss: 0.237 | Test Acc: 94.087% |
Mean accuracy for each client: tensor([0.9261, 0.9375, 0.9375, 0.9635, 0.9344])
Standard deviation for each client: tensor([nan, nan, nan, nan, nan])
Mean global test accuracy: 0.940865159034729
Standard deviation for global test accuracy: nan
